#       x                y            Correxpect        Corryield
     0.212500         0.012500         0.048522         0.687802
     0.212500         0.037500         0.051652         0.725087
     0.212500         0.062500         0.054983         0.757687
     0.212500         0.087500         0.058529         0.785339
     0.212500         0.112500         0.062304         0.807800
     0.212500         0.137500         0.066322         0.824845
     0.212500         0.162500         0.070600         0.836289
     0.212500         0.187500         0.075153         0.842000
     0.212500         0.212500         0.080000         0.841908
     0.212500         0.237500         0.075153         0.836030
     0.212500         0.262500         0.070600         0.824474
     0.212500         0.287500         0.066322         0.807453
     0.212500         0.312500         0.062304         0.785291
     0.212500         0.337500         0.058529         0.758424
     0.212500         0.362500         0.054983         0.727394
     0.212500         0.387500         0.051652         0.692842
     0.212500         0.412500         0.048522         0.655492
     0.212500         0.437500         0.045583         0.616129
     0.212500         0.462500         0.042821         0.575580
     0.212500         0.487500         0.040227         0.534680
     0.212500         0.512500         0.037789         0.494248
     0.212500         0.537500         0.035500         0.455055
     0.212500         0.562500         0.033349         0.417796
     0.212500         0.587500         0.031328         0.383066
     0.212500         0.612500         0.029430         0.351337
     0.212500         0.637500         0.027647         0.322942
     0.212500         0.662500         0.025972         0.298063
     0.212500         0.687500         0.024399         0.276735
     0.212500         0.712500         0.022920         0.258841
     0.212500         0.737500         0.021532         0.244132
     0.212500         0.762500         0.020227         0.232238
     0.212500         0.787500         0.019002         0.222695
     0.212500         0.812500         0.017850         0.214976
     0.212500         0.837500         0.016769         0.208513
     0.212500         0.862500         0.015753         0.202738
     0.212500         0.887500         0.014799         0.197110
     0.212500         0.912500         0.013902         0.191149
     0.212500         0.937500         0.013060         0.184454
     0.212500         0.962500         0.012268         0.176732
     0.212500         0.987500         0.011525         0.167807
     0.237500         0.012500         0.045583         0.637502
     0.237500         0.037500         0.048522         0.673906
     0.237500         0.062500         0.051652         0.707832
     0.237500         0.087500         0.054983         0.738945
     0.237500         0.112500         0.058529         0.766828
     0.237500         0.137500         0.062304         0.790997
     0.237500         0.162500         0.066322         0.810932
     0.237500         0.187500         0.070600         0.826108
     0.237500         0.212500         0.075153         0.836030
     0.237500         0.237500         0.080000         0.840274
     0.237500         0.262500         0.075153         0.838520
     0.237500         0.287500         0.070600         0.830583
     0.237500         0.312500         0.066322         0.816441
     0.237500         0.337500         0.062304         0.796249
     0.237500         0.362500         0.058529         0.770350
     0.237500         0.387500         0.054983         0.739272
     0.237500         0.412500         0.051652         0.703715
     0.237500         0.437500         0.048522         0.664527
     0.237500         0.462500         0.045583         0.622675
     0.237500         0.487500         0.042821         0.579205
     0.237500         0.512500         0.040227         0.535196
     0.237500         0.537500         0.037789         0.491714
     0.237500         0.562500         0.035500         0.449766
     0.237500         0.587500         0.033349         0.410255
     0.237500         0.612500         0.031328         0.373938
     0.237500         0.637500         0.029430         0.341395
     0.237500         0.662500         0.027647         0.313010
     0.237500         0.687500         0.025972         0.288952
     0.237500         0.712500         0.024399         0.269177
     0.237500         0.737500         0.022920         0.253442
     0.237500         0.762500         0.021532         0.241321
     0.237500         0.787500         0.020227         0.232238
     0.237500         0.812500         0.019002         0.225506
     0.237500         0.837500         0.017850         0.220374
     0.237500         0.862500         0.016769         0.216070
     0.237500         0.887500         0.015753         0.211849
     0.237500         0.912500         0.014799         0.207042
     0.237500         0.937500         0.013902         0.201091
     0.237500         0.962500         0.013060         0.193583
     0.237500         0.987500         0.012268         0.184273
     0.262500         0.012500         0.042821         0.584959
     0.262500         0.037500         0.045583         0.620246
     0.262500         0.062500         0.048522         0.655165
     0.262500         0.087500         0.051652         0.689320
     0.262500         0.112500         0.054983         0.722143
     0.262500         0.137500         0.058529         0.752915
     0.262500         0.162500         0.062304         0.780816
     0.262500         0.187500         0.066322         0.804963
     0.262500         0.212500         0.070600         0.824474
     0.262500         0.237500         0.075153         0.838520
     0.262500         0.262500         0.080000         0.846384
