#       x                y            Correxpect        Corryield
     0.325000         1.075000         0.000002        -0.000047
     0.325000         1.125000         0.000001         0.000037
     0.325000         1.175000         0.000001         0.000089
     0.325000         1.225000         0.000000         0.000081
     0.325000         1.275000         0.000000         0.000026
     0.325000         1.325000         0.000000        -0.000039
     0.325000         1.375000         0.000000        -0.000074
     0.325000         1.425000         0.000000        -0.000061
     0.325000         1.475000         0.000000        -0.000011
     0.325000         1.525000         0.000000         0.000042
     0.325000         1.575000         0.000000         0.000066
     0.325000         1.625000         0.000000         0.000048
     0.325000         1.675000         0.000000         0.000001
     0.325000         1.725000         0.000000        -0.000044
     0.325000         1.775000         0.000000        -0.000061
     0.325000         1.825000         0.000000        -0.000039
     0.325000         1.875000         0.000000         0.000007
     0.325000         1.925000         0.000000         0.000047
     0.325000         1.975000         0.000000         0.000057
     0.375000         0.025000         0.000158        -0.000503
     0.375000         0.075000         0.000274        -0.000335
     0.375000         0.125000         0.000475         0.000284
     0.375000         0.175000         0.000824         0.001269
     0.375000         0.225000         0.001428         0.002419
     0.375000         0.275000         0.002476         0.003471
     0.375000         0.325000         0.004291         0.004178
     0.375000         0.375000         0.007438         0.004374
     0.375000         0.425000         0.004291         0.004026
     0.375000         0.475000         0.002476         0.003238
     0.375000         0.525000         0.001428         0.002215
     0.375000         0.575000         0.000824         0.001200
     0.375000         0.625000         0.000475         0.000401
     0.375000         0.675000         0.000274        -0.000068
     0.375000         0.725000         0.000158        -0.000205
     0.375000         0.775000         0.000091        -0.000108
     0.375000         0.825000         0.000053         0.000081
     0.375000         0.875000         0.000030         0.000226
     0.375000         0.925000         0.000018         0.000253
     0.375000         0.975000         0.000010         0.000161
     0.375000         1.025000         0.000006         0.000007
     0.375000         1.075000         0.000003        -0.000125
     0.375000         1.125000         0.000002        -0.000175
     0.375000         1.175000         0.000001        -0.000128
     0.375000         1.225000         0.000001        -0.000019
     0.375000         1.275000         0.000000         0.000091
     0.375000         1.325000         0.000000         0.000144
     0.375000         1.375000         0.000000         0.000118
     0.375000         1.425000         0.000000         0.000032
     0.375000         1.475000         0.000000        -0.000066
     0.375000         1.525000         0.000000        -0.000123
     0.375000         1.575000         0.000000        -0.000112
     0.375000         1.625000         0.000000        -0.000042
     0.375000         1.675000         0.000000         0.000048
     0.375000         1.725000         0.000000         0.000109
     0.375000         1.775000         0.000000         0.000110
     0.375000         1.825000         0.000000         0.000051
     0.375000         1.875000         0.000000        -0.000034
     0.375000         1.925000         0.000000        -0.000100
     0.375000         1.975000         0.000000        -0.000111
     0.425000         0.025000         0.000091        -0.000177
     0.425000         0.075000         0.000158        -0.000158
     0.425000         0.125000         0.000274         0.000032
     0.425000         0.175000         0.000475         0.000474
