              xiValue                 PDF                     PDF                     PDF                     PDF    
           -0.879397                 0.000000                 0.148798                 0.133149                 0.271008     
           -0.768844                 2.618478                 0.170235                 0.170326                 0.296859     
           -0.658291                 0.699123                 0.199633                 0.198367                 0.321225     
           -0.547739                 0.570678                 0.228398                 0.238529                 0.343370     
           -0.437186                 0.505912                 0.263042                 0.302842                 0.362582     
           -0.326633                 0.451278                 0.328350                 0.439519                 0.378219     
           -0.216080                 0.397457                 0.391216                 2.585734                 0.389737     
           -0.105528                 0.366884                 0.496776                 0.535672                 0.396727     
            0.005025                 0.337215                 2.544215                 0.445308                 0.398937     
            0.115578                 0.307184                 0.497138                 0.378281                 0.396287     
            0.226131                 0.272901                 0.379547                 0.326722                 0.388872     
            0.336683                 0.249293                 0.315144                 0.271183                 0.376960     
            0.447236                 0.228398                 0.272087                 0.250740                 0.360974     
            0.557789                 0.204789                 0.224870                 0.215101                 0.341467     
            0.668342                 0.182899                 0.195020                 0.188960                 0.319091     
            0.778894                 0.164808                 0.171502                 0.171592                 0.294559     
            0.889447                 0.148436                 0.132606                 0.148617                 0.268609     
            1.000000                 0.131702                 0.123290                 0.131883                 0.241971     
            1.110553                 0.118948                 0.108998                 0.114244                 0.215326     
            1.221106                 0.108274                 0.095972                 0.103209                 0.189288     
            1.331658                 0.096605                 0.086927                 0.093982                 0.164377     
            1.442211                 0.089821                 0.077972                 0.078695                 0.141010     
            1.552764                 0.082314                 0.066575                 0.070555                 0.119496     
            1.663317                 0.078334                 0.058162                 0.069288                 0.100034     
            1.773869                 0.064404                 0.050112                 0.060514                 0.082724     
            1.884422                 0.058795                 0.047398                 0.049931                 0.067579     
            1.994975                 0.056082                 0.041338                 0.048031                 0.054536     
            2.105528                 0.050021                 0.034825                 0.038081                 0.043475     
            2.216080                 0.043599                 0.028945                 0.033197                 0.034237     
            2.326633                 0.036453                 0.028222                 0.029760                 0.026634     
            2.437186                 0.031207                 0.025508                 0.027408                 0.020468     
            2.547739                 0.030935                 0.021257                 0.024513                 0.015539     
            2.658291                 0.027860                 0.015015                 0.023518                 0.011653     
            2.768844                 0.025146                 0.014020                 0.018272                 0.008633     
            2.879397                 0.024423                 0.013659                 0.018724                 0.006318     
            2.989950                 0.017277                 0.012030                 0.014201                 0.004567     
            3.100503                 0.018815                 0.010493                 0.013749                 0.003262     
            3.211055                 0.015106                 0.010583                 0.010945                 0.002301     
            3.321608                 0.014925                 0.008141                 0.013930                 0.001604     
            3.432161                 0.013840                 0.006603                 0.009679                 0.001104     
            3.542714                 0.012845                 0.007055                 0.008141                 0.000751     
            3.653266                 0.011488                 0.004794                 0.008322                 0.000504     
            3.763819                 0.008684                 0.004161                 0.006875                 0.000335     
            3.874372                 0.009136                 0.004070                 0.003980                 0.000219     
            3.984925                 0.006965                 0.004432                 0.004704                 0.000142     
            4.095477                 0.005699                 0.004523                 0.004432                 0.000091     
            4.206030                 0.006603                 0.002714                 0.003980                 0.000057     
            4.316583                 0.004613                 0.002261                 0.003347                 0.000036     
            4.427136                 0.003980                 0.001719                 0.002714                 0.000022     
            4.537688                 0.004251                 0.001447                 0.002080                 0.000013     
            4.648241                 0.003256                 0.001900                 0.002352                 0.000008     
            4.758794                 0.002080                 0.001538                 0.001990                 0.000005     
            4.869347                 0.002533                 0.001719                 0.001357                 0.000003     
            4.979899                 0.003075                 0.000905                 0.002080                 0.000002     
            5.090452                 0.002171                 0.001176                 0.001357                 0.000001     
            5.201005                 0.001900                 0.000452                 0.001085                 0.000001     
            5.311558                 0.002261                 0.000814                 0.000905                 0.000000     
            5.422111                 0.001266                 0.000995                 0.000633                 0.000000     
            5.532663                 0.001085                 0.001266                 0.000995                 0.000000     
            5.643216                 0.000995                 0.000543                 0.000995                 0.000000     
            5.753769                 0.001176                 0.000452                 0.000271                 0.000000     
            5.864322                 0.001538                 0.000362                 0.000724                 0.000000     
            5.974874                 0.000995                 0.000362                 0.000633                 0.000000     
            6.085427                 0.000633                 0.000000                 0.000271                 0.000000     
            6.195980                 0.000362                 0.000000                 0.000271                 0.000000     
            6.306533                 0.000362                 0.000271                 0.000090                 0.000000     
            6.417085                 0.000633                 0.000543                 0.000452                 0.000000     
            6.527638                 0.000271                 0.000271                 0.000543                 0.000000     
            6.638191                 0.000452                 0.000090                 0.000181                 0.000000     
            6.748744                 0.000181                 0.000271                 0.000181                 0.000000     
            6.859296                 0.000271                 0.000181                 0.000000                 0.000000     
            6.969849                 0.000271                 0.000181                 0.000090                 0.000000     
            7.080402                 0.000271                 0.000090                 0.000090                 0.000000     
            7.190955                 0.000271                 0.000090                 0.000090                 0.000000     
            7.301508                 0.000362                 0.000000                 0.000271                 0.000000     
            7.412060                 0.000452                 0.000000                 0.000000                 0.000000     
            7.522613                 0.000181                 0.000181                 0.000000                 0.000000     
            7.633166                 0.000181                 0.000000                 0.000090                 0.000000     
            7.743719                 0.000090                 0.000090                 0.000000                 0.000000     
            7.854271                 0.000000                 0.000000                 0.000000                 0.000000     
            7.964824                 0.000090                 0.000000                 0.000000                 0.000000     
            8.075377                 0.000181                 0.000000                 0.000090                 0.000000     
            8.185930                 0.000000                 0.000000                 0.000000                 0.000000     
            8.296482                 0.000090                 0.000000                 0.000000                 0.000000     
            8.407035                 0.000000                 0.000000                 0.000000                 0.000000     
            8.517588                 0.000181                 0.000000                 0.000000                 0.000000     
            8.628141                 0.000000                 0.000000                 0.000090                 0.000000     
            8.738693                 0.000000                 0.000000                 0.000090                 0.000000     
            8.849246                 0.000181                 0.000000                 0.000000                 0.000000     
            8.959799                 0.000000                 0.000000                 0.000000                 0.000000     
            9.070352                 0.000000                 0.000000                 0.000090                 0.000000     
            9.180905                 0.000000                 0.000000                 0.000000                 0.000000     
            9.291457                 0.000000                 0.000000                 0.000090                 0.000000     
            9.402010                 0.000000                 0.000000                 0.000000                 0.000000     
            9.512563                 0.000090                 0.000000                 0.000000                 0.000000     
            9.623116                 0.000000                 0.000000                 0.000000                 0.000000     
            9.733668                 0.000000                 0.000000                 0.000000                 0.000000     
            9.844221                 0.000000                 0.000000                 0.000000                 0.000000     
            9.954774                 0.000000                 0.000000                 0.000000                 0.000000     
           10.065327                 0.000000                 0.000000                 0.000000                 0.000000     
           10.175879                 0.000000                 0.000000                 0.000000                 0.000000     
           10.286432                 0.000000                 0.000000                 0.000000                 0.000000     
           10.396985                 0.000000                 0.000000                 0.000000                 0.000000     
           10.507538                 0.000000                 0.000000                 0.000000                 0.000000     
           10.618090                 0.000000                 0.000000                 0.000000                 0.000000     
           10.728643                 0.000000                 0.000000                 0.000000                 0.000000     
           10.839196                 0.000000                 0.000000                 0.000000                 0.000000     
           10.949749                 0.000000                 0.000000                 0.000000                 0.000000     
           11.060302                 0.000000                 0.000000                 0.000000                 0.000000     
           11.170854                 0.000090                 0.000000                 0.000000                 0.000000     
           11.281407                 0.000000                 0.000000                 0.000000                 0.000000     
           11.391960                 0.000090                 0.000000                 0.000000                 0.000000     
           11.502513                 0.000000                 0.000000                 0.000000                 0.000000     
           11.613065                 0.000000                 0.000000                 0.000000                 0.000000     
           11.723618                 0.000000                 0.000000                 0.000000                 0.000000     
           11.834171                 0.000000                 0.000000                 0.000000                 0.000000     
           11.944724                 0.000000                 0.000000                 0.000000                 0.000000     
           12.055276                 0.000000                 0.000000                 0.000000                 0.000000     
