              xiValue                 PDF                     PDF                     PDF                     PDF    
            6.510050                 0.000433                 0.000173                 0.000260                 0.000000     
            6.625628                 0.000173                 0.000260                 0.000000                 0.000000     
            6.741206                 0.000260                 0.000173                 0.000000                 0.000000     
            6.856784                 0.000087                 0.000173                 0.000260                 0.000000     
            6.972362                 0.000000                 0.000173                 0.000260                 0.000000     
            7.087940                 0.000173                 0.000000                 0.000087                 0.000000     
            7.203518                 0.000000                 0.000087                 0.000087                 0.000000     
            7.319095                 0.000087                 0.000000                 0.000087                 0.000000     
            7.434673                 0.000087                 0.000000                 0.000000                 0.000000     
            7.550251                 0.000000                 0.000087                 0.000000                 0.000000     
            7.665829                 0.000000                 0.000000                 0.000000                 0.000000     
            7.781407                 0.000000                 0.000087                 0.000000                 0.000000     
            7.896985                 0.000000                 0.000000                 0.000000                 0.000000     
            8.012563                 0.000000                 0.000087                 0.000000                 0.000000     
            8.128141                 0.000000                 0.000000                 0.000087                 0.000000     
            8.243719                 0.000000                 0.000260                 0.000173                 0.000000     
            8.359296                 0.000000                 0.000000                 0.000000                 0.000000     
            8.474874                 0.000000                 0.000000                 0.000000                 0.000000     
            8.590452                 0.000000                 0.000000                 0.000000                 0.000000     
            8.706030                 0.000000                 0.000000                 0.000000                 0.000000     
            8.821608                 0.000000                 0.000000                 0.000000                 0.000000     
            8.937186                 0.000000                 0.000000                 0.000000                 0.000000     
            9.052764                 0.000000                 0.000000                 0.000000                 0.000000     
            9.168342                 0.000000                 0.000000                 0.000000                 0.000000     
            9.283920                 0.000000                 0.000000                 0.000000                 0.000000     
            9.399497                 0.000000                 0.000000                 0.000000                 0.000000     
            9.515075                 0.000000                 0.000000                 0.000000                 0.000000     
            9.630653                 0.000000                 0.000000                 0.000000                 0.000000     
            9.746231                 0.000000                 0.000000                 0.000000                 0.000000     
            9.861809                 0.000000                 0.000000                 0.000087                 0.000000     
            9.977387                 0.000000                 0.000000                 0.000000                 0.000000     
           10.092965                 0.000000                 0.000087                 0.000000                 0.000000     
           10.208543                 0.000000                 0.000000                 0.000000                 0.000000     
           10.324121                 0.000000                 0.000000                 0.000000                 0.000000     
           10.439698                 0.000000                 0.000000                 0.000000                 0.000000     
           10.555276                 0.000087                 0.000000                 0.000000                 0.000000     
           10.670854                 0.000000                 0.000000                 0.000000                 0.000000     
           10.786432                 0.000000                 0.000000                 0.000000                 0.000000     
           10.902010                 0.000000                 0.000000                 0.000000                 0.000000     
           11.017588                 0.000000                 0.000000                 0.000000                 0.000000     
           11.133166                 0.000000                 0.000000                 0.000000                 0.000000     
           11.248744                 0.000000                 0.000000                 0.000000                 0.000000     
           11.364322                 0.000000                 0.000000                 0.000000                 0.000000     
           11.479899                 0.000000                 0.000000                 0.000000                 0.000000     
           11.595477                 0.000000                 0.000000                 0.000000                 0.000000     
           11.711055                 0.000000                 0.000000                 0.000000                 0.000000     
           11.826633                 0.000000                 0.000000                 0.000000                 0.000000     
           11.942211                 0.000000                 0.000000                 0.000000                 0.000000     
           12.057789                 0.000000                 0.000000                 0.000000                 0.000000     
