#         tranbounds      trancounts        reflbounds        relfcounts
        0.0062917073        0.0000000000        0.4740130289        0.0254545455
        0.0064093112        0.0000000000        0.4788285371        0.0400000000
        0.0065269151        0.0000000000        0.4836440454        0.0281818182
        0.0066445189        0.0000000000        0.4884595536        0.0263636364
        0.0067621228        0.0000000000        0.4932750619        0.0290909091
        0.0068797267        0.0000000000        0.4980905701        0.0281818182
        0.0069973306        0.0000000000        0.5029060784        0.0254545455
        0.0071149344        0.0000000000        0.5077215866        0.0181818182
        0.0072325383        0.0000000000        0.5125370949        0.0154545455
        0.0073501422        0.0000000000        0.5173526031        0.0172727273
        0.0074677461        0.0000000000        0.5221681114        0.0190909091
        0.0075853499        0.0000000000        0.5269836196        0.0218181818
        0.0077029538        0.0000000000        0.5317991279        0.0172727273
        0.0078205577        0.0000000000        0.5366146361        0.0118181818
        0.0079381616        0.0000000000        0.5414301444        0.0127272727
        0.0080557654        0.0000000000        0.5462456526        0.0081818182
        0.0081733693        0.0000000000        0.5510611609        0.0090909091
        0.0082909732        0.0000000000        0.5558766691        0.0100000000
        0.0084085771        0.0000000000        0.5606921774        0.0063636364
        0.0085261809        0.0000000000        0.5655076856        0.0063636364
        0.0086437848        0.0000000000        0.5703231939        0.0081818182
        0.0087613887        0.0000000000        0.5751387021        0.0072727273
        0.0088789926        0.0000000000        0.5799542104        0.0109090909
        0.0089965964        0.0000000000        0.5847697186        0.0036363636
        0.0091142003        0.0000000000        0.5895852269        0.0018181818
        0.0092318042        0.0000000000        0.5944007351        0.0009090909
        0.0093494081        0.0000000000        0.5992162434        0.0018181818
        0.0094670119        0.0000000000        0.6040317516        0.0009090909
        0.0095846158        0.0000000000        0.6088472599        0.0009090909
        0.0097022197        0.0000000000        0.6136627681        0.0018181818
        0.0098198236        0.0000000000        0.6184782764        0.0000000000
        0.0099374274        0.0000000000        0.6232937846        0.0000000000
        0.0100550313        0.0000000000        0.6281092929        0.0009090909
        0.0101726352        0.0000000000        0.6329248011        0.0000000000
        0.0102902391        0.0000000000        0.6377403094        0.0000000000
        0.0104078429        0.0009090909        0.6425558176        0.0000000000
        0.0105254468        0.0000000000        0.6473713259        0.0009090909
        0.0106430507        0.0000000000        0.6521868341        0.0000000000
        0.0107606546        0.0000000000        0.6570023424        0.0000000000
        0.0108782584        0.0000000000        0.6618178506        0.0000000000
        0.0109958623        0.0000000000        0.6666333589        0.0000000000
        0.0111134662        0.0000000000        0.6714488671        0.0000000000
        0.0112310701        0.0000000000        0.6762643754        0.0000000000
        0.0113486739        0.0000000000        0.6810798836        0.0000000000
        0.0114662778        0.0000000000        0.6858953919        0.0000000000
        0.0115838817        0.0000000000        0.6907109001        0.0000000000
        0.0117014856        0.0000000000        0.6955264084        0.0000000000
