              #x                      funcval                 funcval                 funcval                 funcval
            2.557500                 0.477472                -0.735313                 0.694238                -0.416089     
            2.572500                 0.470921                -0.731928                 0.706361                -0.450401     
            2.587500                 0.464300                -0.728095                 0.717451                -0.483471     
            2.602500                 0.457613                -0.723817                 0.727490                -0.515210     
            2.617500                 0.450860                -0.719097                 0.736464                -0.545529     
            2.632500                 0.444041                -0.713937                 0.744360                -0.574345     
            2.647500                 0.437158                -0.708341                 0.751166                -0.601579     
            2.662500                 0.430211                -0.702312                 0.756873                -0.627155     
            2.677500                 0.423203                -0.695854                 0.761471                -0.651004     
            2.692500                 0.416133                -0.688971                 0.764955                -0.673060     
            2.707500                 0.409003                -0.681666                 0.767319                -0.693261     
            2.722500                 0.401813                -0.673945                 0.768559                -0.711552     
            2.737500                 0.394566                -0.665812                 0.768675                -0.727883     
            2.752500                 0.387261                -0.657272                 0.767665                -0.742209     
            2.767500                 0.379900                -0.648330                 0.765531                -0.754490     
            2.782500                 0.372484                -0.638992                 0.762277                -0.764692     
            2.797500                 0.365015                -0.629263                 0.757906                -0.772788     
            2.812500                 0.357492                -0.619150                 0.752426                -0.778754     
            2.827500                 0.349918                -0.608659                 0.745844                -0.782576     
            2.842500                 0.342293                -0.597795                 0.738171                -0.784241     
            2.857500                 0.334618                -0.586566                 0.729417                -0.783746     
            2.872500                 0.326895                -0.574979                 0.719595                -0.781091     
            2.887500                 0.319125                -0.563040                 0.708720                -0.776285     
            2.902500                 0.311308                -0.550757                 0.696807                -0.769340     
            2.917500                 0.303447                -0.538137                 0.683873                -0.760276     
            2.932500                 0.295541                -0.525189                 0.669939                -0.749117     
            2.947500                 0.287593                -0.511919                 0.655024                -0.735894     
            2.962500                 0.279603                -0.498337                 0.639150                -0.720644     
            2.977500                 0.271573                -0.484450                 0.622340                -0.703409     
            2.992500                 0.263503                -0.470267                 0.604620                -0.684236     
